LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
14m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
14m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
14m         Normal    Deleted             networkchaos/network-delay                   Experiment has been deleted
14m         Normal    Updated             networkchaos/network-delay                   Successfully update desiredPhase of resource
14m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
14m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
14m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
13m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
13m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
12m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
12m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
9m45s       Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
9m45s       Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
